dager_borte,alder,alkohol_konsum,kjonn
6,18,1,F
4,17,1,F
10,15,2,F
2,15,1,F
4,16,1,F
NA,16,1,M
0,16,1,M
6,17,1,F
0,15,1,M
0,15,1,M
0,15,1,F
4,15,1,F
2,15,1,M
2,15,1,M
0,NA,1,F
NA,16,1,F
6,16,1,F
4,16,1,F
16,17,2,M
4,16,1,M
0,15,1,M
0,15,1,M
2,16,1,M
0,16,2,M
2,15,1,F
14,16,1,F
2,15,1,M
4,15,2,M
4,16,1,M
16,16,5,M
0,15,3,M
0,15,1,M
0,15,1,M
0,15,1,M
0,16,1,M
0,15,1,F
2,15,1,M
7,16,1,M
2,15,1,F
8,15,1,F
25,16,1,F
8,15,2,M
2,15,1,M
0,15,1,M
14,16,2,F
8,15,1,F
12,16,1,F
4,16,1,M
NA,16,1,F
2,15,1,F
2,16,2,F
2,15,1,F
6,15,3,M
0,15,2,F
20,NA,1,M
8,16,1,F
0,15,1,F
4,15,1,M
2,15,1,M
2,16,1,F
6,16,2,F
6,16,5,F
4,16,1,F
2,16,2,F
0,15,2,F
2,16,1,F
4,15,5,M
4,16,1,F
2,15,1,F
12,15,2,F
0,16,1,M
0,15,1,M
2,15,2,F
2,16,2,M
NA,18,2,M
6,15,2,M
8,15,1,M
0,16,1,F
2,17,1,M
14,NA,1,M
2,15,1,M
4,15,1,M
10,15,1,F
4,15,1,M
2,15,2,F
6,15,2,F
4,16,1,F
4,15,1,F
12,16,1,M
18,16,3,M
0,16,1,F
4,15,1,F
4,16,2,F
0,16,1,F
6,15,1,M
2,15,1,F
2,16,1,M
2,16,1,F
6,16,1,F
0,16,1,F
14,16,5,M
0,16,1,M
4,15,1,M
26,15,1,F
0,15,1,M
10,15,1,F
8,15,1,F
2,16,1,M
6,15,3,M
4,16,1,F
6,15,1,M
0,16,1,F
6,16,1,F
10,15,1,M
8,15,1,M
2,16,1,M
6,NA,1,F
0,16,1,M
20,17,1,M
20,NA,1,F
2,15,1,F
0,NA,1,M
2,16,1,F
16,NA,1,M
0,16,1,F
0,15,3,M
0,15,1,F
2,19,1,F
0,18,1,M
8,16,2,M
0,15,2,F
0,15,1,F
12,17,1,F
16,16,1,F
0,15,1,M
0,15,1,F
0,17,2,M
0,16,1,F
0,16,1,M
0,15,1,F
0,15,1,M
NA,16,1,F
2,15,1,F
2,16,3,F
0,17,1,M
0,15,1,F
0,15,1,F
2,15,1,F
0,16,2,M
0,15,2,M
0,18,2,M
6,16,3,M
8,15,2,F
0,19,1,M
0,17,1,F
2,15,1,M
8,17,3,M
6,18,1,F
2,16,1,M
4,16,4,M
0,17,2,M
6,15,1,M
0,16,2,M
2,17,1,M
0,17,1,M
16,16,1,M
4,16,2,M
0,16,1,F
0,16,1,F
0,16,1,F
0,16,2,M
2,16,1,M
0,17,1,M
0,16,1,F
4,16,1,F
4,17,4,M
16,NA,5,M
4,17,1,M
NA,15,1,M
4,17,1,M
4,NA,1,F
2,16,1,M
0,NA,2,F
56,17,2,F
14,16,1,F
12,17,2,M
2,16,1,M
0,16,1,M
6,17,1,F
4,17,1,M
10,16,1,F
16,NA,1,F
12,17,4,M
8,16,3,M
0,16,1,M
0,17,1,F
4,17,1,M
8,16,3,M
24,17,2,F
0,16,1,F
2,16,1,F
6,16,1,F
4,17,1,F
18,17,1,F
6,16,1,F
NA,18,2,M
5,16,2,F
10,16,1,F
6,16,1,F
6,17,1,F
10,19,1,F
13,17,4,M
0,16,1,F
15,18,2,M
12,17,1,F
2,17,1,F
22,17,2,F
13,18,2,M
3,17,1,F
4,17,1,F
2,17,1,F
0,17,1,F
2,16,1,F
0,18,5,M
0,16,1,F
16,18,1,F
10,17,1,F
2,17,1,M
14,18,4,M
10,17,1,F
2,NA,2,F
4,17,1,M
14,17,1,M
2,16,2,M
18,16,1,M
10,16,1,M
4,17,5,M
20,16,1,F
2,17,1,F
0,18,3,M
14,17,1,M
NA,16,5,M
0,16,1,M
0,16,1,M
0,18,1,F
6,16,1,M
4,17,1,M
16,22,5,M
8,18,1,M
6,NA,1,F
NA,17,1,F
6,16,1,M
4,18,2,M
0,16,1,M
0,17,2,M
2,17,1,M
6,17,1,F
12,19,1,M
8,18,1,M
NA,18,1,F
21,18,1,F
2,18,1,M
1,18,1,M
4,17,1,F
0,18,1,F
13,18,3,M
2,17,3,M
8,18,2,F
10,18,1,M
0,18,1,F
15,19,3,F
4,18,1,F
2,18,1,F
2,17,2,M
2,17,1,F
6,17,2,F
75,18,1,F
22,18,1,M
15,18,1,F
8,18,1,M
30,17,2,M
19,17,3,M
1,18,1,F
4,18,1,F
4,17,1,F
2,17,1,M
4,NA,2,M
6,17,1,F
6,18,1,M
2,NA,1,F
11,18,1,M
0,17,1,F
12,18,1,F
6,17,1,F
NA,15,1,M
4,17,1,M
0,19,2,F
10,18,1,F
0,18,1,F
5,18,2,M
14,18,1,F
0,17,2,M
0,17,1,F
0,17,1,F
20,19,1,M
8,18,1,F
0,20,1,M
38,19,1,M
0,19,1,M
18,19,1,F
12,NA,4,M
20,19,1,F
NA,16,1,F
22,19,1,F
14,19,1,F
40,19,1,F
0,18,1,F
9,18,1,F
8,NA,1,F
2,18,3,F
12,NA,2,F
12,17,1,F
3,17,2,F
NA,15,1,M
0,17,2,F
3,18,2,M
3,17,3,M
7,NA,2,F
7,17,1,F
4,17,1,F
2,18,2,M
7,17,1,F
0,18,1,F
NA,16,1,F
0,18,1,F
16,17,1,F
12,19,1,F
0,17,2,F
7,18,1,F
4,17,2,F
4,19,1,F
0,18,2,M
11,18,1,M
0,17,1,F
4,18,1,F
7,18,2,F
9,18,1,M
0,18,2,M
0,17,1,F
10,18,5,M
8,19,3,M
2,17,2,M
7,18,2,M
4,19,3,M
4,17,1,M
0,18,1,F
4,17,1,F
2,17,1,F
4,18,1,M
0,18,1,F
0,18,1,F
2,18,2,M
0,18,1,F
0,17,1,F
0,17,1,F
4,18,2,M
0,18,2,M
0,17,1,F
0,18,1,F
10,18,4,F
4,19,1,F
3,18,2,M
8,17,1,F
14,17,1,F
0,NA,1,M
2,18,1,F
4,20,1,F
4,18,3,F
0,18,1,F
17,17,2,F
4,18,1,M
5,18,1,M
2,17,1,M
0,19,1,M
14,18,4,M
NA,18,2,M
7,18,2,F
0,19,1,F
0,18,1,F
0,18,1,F
11,20,4,M
3,17,3,M
3,21,3,M
0,18,3,M
5,19,3,M
